author,comment,time,likes,clean_comment
@HananGhori-u2n,"Dewan Pimpinan Rakyat,
Bujang,,,,,
Mane nih
Pemimpin yg katanyaa 
Macaan Asia",2 bulan yang lalu,0,dewan pimpinan rakyat bujang mane nih pemimpin yg katanyaa macaan asia
@kerupukucing8730,Yg milih siapa,2 bulan yang lalu,0,yg milih siapa
@RanimBjm,Ini akibat joged joged makanya jgn songong kepada masyarakat cukup kesabaran Meraka udah abis dan akhirnya Kya gini kan,2 bulan yang lalu,0,akibat joged joged makanya jgn songong masyarakat cukup kesabaran meraka udah abis akhirnya kya gini kan
@rafatirbaco9276,Dan sekarang yg bergembira adalah para bazer2 fufufafa dan antek2nya...karna indonesia lagi rusuh...,2 bulan yang lalu,0,sekarang yg bergembira bazer fufufafa anteknyakarna indonesia rusuh
@AmzAzis,"Kenyangkan perutmu,bahagiakan keluargamu, tanpa memikirkan penderitaan rakyatmu, haram semua hasil kerjamu,Krn kamu semua mengkhianati sumpah mu.",2 bulan yang lalu,0,kenyangkan perutmubahagiakan keluargamu memikirkan penderitaan rakyatmu haram semua hasil kerjamukrn kamu semua mengkhianati sumpah mu
@juragan-c9t,Sebaiknya uya kuya eko patrio nafa urba deni cagur sahroni mundur dari   kursi dewan wakil rakyat,2 bulan yang lalu,0,sebaiknya uya kuya eko patrio nafa urba deni cagur sahroni mundur kursi dewan wakil rakyat
@indrahikmawan,"​ @suhartoyo7002 kalian hidup menderita karena pemerintahan gagal 10 th kmrn, kalian dimiskinkan oleh pemerintah sebelumnya. 
Saveprabowo",2 bulan yang lalu,0,suhartoyokalian hidup menderita pemerintahan gagal th kmrn kalian dimiskinkan pemerintah sebelumnya saveprabowo
@Pitono-bo8og,Tu yg kebaya putih sampai kayak orang setruk kalo bahagia,2 bulan yang lalu,0,tu yg kebaya putih kayak orang setruk kalo bahagia
@HartantoHarna,Bersukaria kegirangan gaji dinaikan....entar hartanya dikubur disamping mayatnya,2 bulan yang lalu,0,bersukaria kegirangan gaji dinaikanentar hartanya dikubur disamping mayatnya
@HartantoHarna,Manusia2 ngk punya malu ...yg menderita banyak mlh pada joget2...dia pikir hidup selamanya didunia menikmati hartanya yg SDH melimpahruah tapi pelit dan Ria....pertahankan gayamu bos suka2 kalian,2 bulan yang lalu,0,manusia ngk punya malu yg menderita banyak mlh jogetdia pikir hidup selamanya didunia menikmati hartanya yg sdh melimpahruah pelit riapertahankan gayamu bos suka kalian
@indrahikmawan,"​ @HartantoHarna yg bikin menderita itu efek dri rezim sebelumnya, dampak kerasnya hidup baru sekarang.",2 bulan yang lalu,0,hartantoharnayg bikin menderita efek dri rezim sebelumnya dampak kerasnya hidup baru sekarang
@Penelope-k1o,Siapa tuh ibu-ibu berbaju kuning dan berkerudung merah yang asyik banget jogetnya,2 bulan yang lalu,0,siapa tuh ibuibu berbaju kuning berkerudung merah asyik banget jogetnya
@LemandaManda,​ @HananGhori-u2n macan asia udah hilang ingatan😅,2 bulan yang lalu,0,hananghoriunmacan asia udah hilang ingatan
@aramcoarabia,"Pecat Sadarestuwati yg joget-joget paling bergembira diatas penderitaan rakyat.! 
Tak tau malu suaminya koruptor.!",2 bulan yang lalu,0,pecat sadarestuwati yg jogetjoget paling bergembira diatas penderitaan rakyat tak tau malu suaminya koruptor
@Radit-xk4yw,"Berarti salahnya yang ngasih kan ya, , harusnya rumah yang ngasih itu di jarah juga dong, kalo berani sih",2 bulan yang lalu,0,berarti salahnya ngasih kan harusnya rumah ngasih jarah dong kalo berani sih
@asfiyahasfiyah5637,Joget ria yg mengawali kan jokowi waktu ada penyanyi cilik barel waktu setelah upacara kemerdekaan di istana,2 bulan yang lalu,0,joget ria yg mengawali kan jokowi waktu penyanyi cilik barel waktu upacara kemerdekaan istana
@sidiabdullahnoraaziz2928,"Zalim benar
Kamu tega bersuka ria atas penderitaan rakyat!",2 bulan yang lalu,0,zalim benar kamu tega bersuka ria atas penderitaan rakyat
@Maman-j4r,"Ok,,,, gas....... Ok..... Gas..... Siapa yg milih jgn kecewa ya",2 bulan yang lalu,0,gas gas siapa yg milih jgn kecewa
@RizkyTea-w1x,Ingat Deni cagur minta dukungan ke kampung kampung setelah anda duduk tidak ingat kepada nb  kami,2 bulan yang lalu,0,ingat deni cagur minta dukungan kampung kampung duduk ingat nb
@Hazmi-j8t,Sangat memalukan ditonton seluruh dunia.,2 bulan yang lalu,0,sangat memalukan ditonton seluruh dunia
@Binsyasumeh,GERWANI & PKI berpesta pora 💃🕺,1 bulan yang lalu,0,gerwani pki berpesta pora
@AndiGunawan-iq3xb,"Joged2 boleh, asal tau tempatnya.",2 bulan yang lalu,0,joged asal tau tempatnya
@kayyluxvy,awoawokawok😹,2 bulan yang lalu,0,awoawokawok
@fahmisyeban9796,Betul sekali,2 bulan yang lalu (diedit),0,betul sekali
@xanxietyx3321,"ayo gas"" 😂🕺",2 bulan yang lalu,0,ayo gas
@arinymalika6422,"Ok Gas, Ok Gas😅",2 bulan yang lalu,0,gas gas
@doremifa8929,Gedung dpr buat kerja bukan buat joged. Dasar anak te-ka. Dpr itu tempat bekerja bukan taman kanak-kanak😂,2 bulan yang lalu,0,gedung dpr buat kerja bukan buat joged dasar anak teka dpr tempat bekerja bukan taman kanakkanak
@marlinarauf443,Gak apa apa joged asal tidak korupsi,2 bulan yang lalu,0,gak apa apa joged asal korupsi
@dokartua1135,Itu bayar grup musiknya berapa puluh juta. Uang rakyat itu buat foya foya. Bisa gaji buruh berapa bulan itu?,2 bulan yang lalu,0,bayar grup musiknya berapa puluh juta uang rakyat buat foya foya gaji buruh berapa bulan
@RizkyTea-w1x,joged membawa petaka,1 bulan yang lalu,0,joged membawa petaka
@1975Antonius,Buat sarapan ikan piranha,2 bulan yang lalu,0,buat sarapan ikan piranha
@KangIpin-e9y,"Ya betul, koruptor2 lah bikin RUSAK & HANCUR Negara ini, mereka lah yang harus bertanggung jawab.",2 bulan yang lalu,0,betul koruptor lah bikin rusak hancur negara lah bertanggung jawab
@jasjus0000," @KangIpin-e9y  tanpa korup sekalipun kak. terlaluuuu besar tunjangan semua pejabat, DPR DPRD Presiden Kabinet Dirrut BUMN. semuaaa trlalu jauh dari rata2 perkapita",2 bulan yang lalu,0,kangipiney korup sekalipun kak terlaluuuu besar tunjangan semua pejabat dpr dprd presiden kabinet dirrut bumn semuaaa trlalu jauh rata perkapita
@LiaRespa-r6j,setujuh.,2 bulan yang lalu,0,setujuh
@ahmadjawsund6507,Tapi belum ada demo yang menuntut itu.,2 bulan yang lalu,0,demo menuntut
@bambang5975,MAMPIR KE RUMAH WAKIL MENTRI SDM YG KORUPSI DONG,2 bulan yang lalu,0,mampir rumah wakil mentri sdm yg korupsi dong
@e.rachmansyah709,Caranya?,2 bulan yang lalu,0,caranya
@chsuhendar4036,Jangan pilih caleg dari partai korup,2 bulan yang lalu,0,jangan pilih caleg partai korup
@Syafril-p9l,"Se 7,,!!!",2 bulan yang lalu,0,se
@carolinejenifer5137,Setuju,2 bulan yang lalu,0,setuju
@lowbadgetgaming123,"harus di bayar pake nyawa,kalo di miskinkan kurang ngatuh",2 bulan yang lalu,0,bayar pake nyawakalo miskinkan kurang ngatuh
@Ndit555,"Waduh Eko KY nangtangin rakyat bisa digruduk nih rmh Eko, Uya,syah roni😮",2 bulan yang lalu,0,waduh eko ky nangtangin rakyat digruduk nih rmh eko uyasyah roni
@Golekupo754,Setuju banget,2 bulan yang lalu,0,setuju banget
@roigedhek,"Keponakan Prabowo lah seharusnya di pecat ,kalo Wowo pingin tegas 😂😂😂",2 bulan yang lalu,0,keponakan prabowo lah pecat kalo wowo pingin tegas
@santidepok5429,"Betul semua itu berawal dr joget, joget anggota. D. P. R, fi saat penderitaan rakyat, pajak melambung, byk pengangguran...",2 bulan yang lalu,0,betul semua berawal dr joget joget anggota d p r fi penderitaan rakyat pajak melambung byk pengangguran
@adjengprbm6595,dulu ada joget ok gas ok gas dan DPR joget joget.,2 bulan yang lalu,0,dulu joget gas gas dpr joget joget
@GreenAndPeace-l8h,Aneh ya! Ibu jilbab MERAH wakil PDIP JAWA TIMUR joget paling heboh tidak kesenggol massa😂,2 bulan yang lalu,0,aneh ibu jilbab merah wakil pdip jawa timur joget paling heboh kesenggol massa
@umiyati9194,Anggota dewan tangkap semua biar taurasa .. PK Wowo GK bisa mimpin negri indonesia untuk apa ada mknn gratis kalau pjak semua naik,2 bulan yang lalu,0,anggota dewan tangkap semua biar taurasa pk wowo gk mimpin negri indonesia apa mknn gratis kalau pjak semua naik
@nuren476,​ @Ndit555 satu lg yg krudung merah,2 bulan yang lalu,0,nditsatu lg yg krudung merah
@Momentscalm_2,Naik tunjangan di sahkan  oleh Jokowi oi dan mentri keuangan bukan masa Prabowo,2 bulan yang lalu,0,naik tunjangan sahkan jokowi oi mentri keuangan bukan masa prabowo
@abassinulingga727,Kerudung merah,2 bulan yang lalu,0,kerudung merah
@agushermawan948,"Demo kali ini akan sia2 kalo ga ada hasil spt UU Perampasan Asset koruptor
jangan2 sia2kan korban yg gugur",2 bulan yang lalu,0,demo kali sia kalo ga hasil spt uu perampasan asset koruptor jangan siakan korban yg gugur
@parlindunganpangaribuan6539,"DPR joget-joget karena Pemerintah menyetujui kenaikan TUNJANGAN mereka, rasanya bukan kesalahan mutlak DPR, siapa yg tidak gembira bila Pendapatan nya Naik.",2 bulan yang lalu,0,dpr jogetjoget pemerintah menyetujui kenaikan tunjangan rasanya bukan kesalahan mutlak dpr siapa yg gembira bila pendapatan nya naik
@susieyayang,mknn yg d ksh mah gk seberapa gk bnyk membantu ...v jlstru yg di ambil lebih banyak kan anj...g,2 bulan yang lalu,0,mknn yg d ksh mah gk seberapa gk bnyk membantu v jlstru yg ambil lebih banyak kan anjg
@tatik7583,iy aplagi yg bju putih,2 bulan yang lalu,0,iy aplagi yg bju putih
@twijzel1234,Yang jilbab merah jangan sampai lolos,2 bulan yang lalu,0,jilbab merah jangan lolos
@MichaelScofeld-l4d,​ @Ndit555 udah dijarah isi rumahnya 😂,2 bulan yang lalu,0,nditudah dijarah isi rumahnya
@AndriSutomo-ft3bn,"Banyak tuh yg joget2 Bukan eko cs.aja. ada tuh anaknya zulkifli Hasan, putri zulhas, cyduk juga tuh, ibu2 yg d belakang, bapak2nya banyak, cek lg papan namanya.",2 bulan yang lalu,0,banyak tuh yg joget bukan eko csaja tuh anaknya zulkifli hasan putri zulhas cyduk tuh ibu yg d belakang bapaknya banyak cek lg papan namanya
@PutriGladies-p9b7v,Betul....makanya banyak yg mau bikin partai karena ingin jadi DPR DAN kebagian harta,2 bulan yang lalu,0,betulmakanya banyak yg mau bikin partai jadi dpr kebagian harta
@ukeSuke-ub5vr,terlalu banyak perwakilan rakyat di pusat ada DPD dan DPR... padahal mereka hanya mewakili partai masing masing.... mereka tunduk kepada partai nya....miris.,2 bulan yang lalu,0,terlalu banyak perwakilan rakyat pusat dpd dpr padahal mewakili partai masing masing tunduk partai nyamiris
@tryaniwhulansari9799,"Kumpulan manusia"" rakus uang rakyat",2 bulan yang lalu,0,kumpulan manusia rakus uang rakyat
@RizkyTea-w1x,Bukan wakil rakyat musuh rakyat,2 bulan yang lalu,0,bukan wakil rakyat musuh rakyat
@VidvanNio,kemana aja baru tau kali😂😂😂😂😂,2 bulan yang lalu,0,aja baru tau kali
@JgCj-z8n,"​ @VidvanNio knpa di pilih oiiiii
Salah kita
Makanya ga ada yg tau hukum agama mau jadi pejabad
Ngeri tuuntuatan ahiratnya
Bila mereka tau dan bisa merasakn pasti pada tobat tu dpr",2 bulan yang lalu,0,vidvannioknpa pilih oiiiii salah makanya ga yg tau hukum agama mau jadi pejabad ngeri tuuntuatan ahiratnya bila tau merasakn tobat tu dpr
@Freedom-l5t5n,"Kenapa tidak ada syarat pendidikan utk DPR, biar artis yg TDK berkompeten tidak bisa nyalon!",2 bulan yang lalu,0,syarat pendidikan utk dpr biar artis yg tdk berkompeten nyalon
@mitaanggraeni14390,"​ @Freedom-l5t5n  sebenernya utk masa sekarang gpp gak ada syarat pendidikan, 

Tapi artis2 itu udah pada lulus kuliah sih, tinggal bayar, rajin dateng, bertahan ngerjain tugas akhir, trus, lulus dapet ijazah S1 

DPR kan wakil rakyat, gak semua rakyat kita sudah mengenyam pendidikan yg tinggi kan.. 

Kayak petani2 gitu biarpun pendidikannya gak tinggi kalau menurut saya pribadi ya gpp para petani itu jadi anggota DPR mewakili rakyat.. 

Yg menurut saya harus dibubarkan itu partai politik.. DPR tetap harus ada utk fungsi check & balance di negara ini

Bikin rekrutmen anggota DPR gak usah dari partai, tapi semuanya independen aja, supaya gak ada kepentingan partai (golongan) / korupsi berjamaah yg terorganisasi",2 bulan yang lalu,0,freedomltn sebenernya utk masa sekarang gpp gak syarat pendidikan artis udah lulus kuliah sih tinggal bayar rajin dateng bertahan ngerjain tugas akhir trus lulus dapet ijazah s dpr kan wakil rakyat gak semua rakyat mengenyam pendidikan yg tinggi kan kayak petani gitu biarpun pendidikannya gak tinggi kalau pribadi gpp petani jadi anggota dpr mewakili rakyat yg dibubarkan partai politik dpr tetap utk fungsi check balance negara bikin rekrutmen anggota dpr gak usah partai semuanya independen aja gak kepentingan partai golongan korupsi berjamaah yg terorganisasi
@RaosTasty,"​ @mitaanggraeni14390 iya betul ,pendidikan tidak menjamin sih ,yang penting  mereka punya hati nurani untuk rakyat kecil ,tapi pendidikan agama sungguh sangat menjamin dan mereka tahu benar arti isi alquran dan sunah2 rasul ,gimana cara mensejahterakan rakyat ,, jd mmg ada harus faktor pendukung jg gak bs polos2 amat",2 bulan yang lalu,0,mitaanggraeniiya betul pendidikan menjamin sih penting punya hati nurani rakyat kecil pendidikan agama sungguh sangat menjamin tahu benar arti isi alquran sunah rasul gimana cara mensejahterakan rakyat jd mmg faktor pendukung jg gak bs polos
@AgungArvinoChanel,Setuju,2 bulan yang lalu,0,setuju
@RomakaiRastata,di Maluku Utara yg kaya banyak uang.blm tentu terpili jadi DPRi. karna hanya orang yg pengaruh yg terpili kaya sultan tidore.sultan Ternate atu para habib yg murid bnyak,2 bulan yang lalu (diedit),0,maluku utara yg kaya banyak uangblm terpili jadi dpri karna orang yg pengaruh yg terpili kaya sultan tidoresultan ternate atu habib yg murid bnyak
@HabibahIbah_Riki_P,Makannya jadi orang itu jangan serakah apalagi anggota DPR,2 bulan yang lalu,0,makannya jadi orang jangan serakah anggota dpr
@cahayasangpetualang3536,Hahaha dlu dipilih karena ngefans 😂,2 bulan yang lalu,0,hahaha dlu dipilih ngefans
@muhasri1985,Wong cilik emang gue pikirin 😂,2 bulan yang lalu,0,wong cilik emang gue pikirin
@IndahMayasari-h1g4g,"Buru rumah KD weiii, puan pun jg sama itu hantu jugak",2 bulan yang lalu,0,buru rumah kd weiii puan jg sama hantu jugak
@RizkyTea-w1x,Yg akan datang kalau ada artis yg nyalon jangan di coblos perusak ketemtraman😊,2 bulan yang lalu,0,yg datang kalau artis yg nyalon jangan coblos perusak ketemtraman
@totetamtoti2443,"kalo seandainya pmenang presiden dari partai sebelumnya ga bakaln tuh ada demo besar besaran, padahal dulu lebih parah",2 bulan yang lalu,0,kalo seandainya pmenang presiden partai sebelumnya ga bakaln tuh demo besar besaran padahal dulu lebih parah
@GiminBae-ki3hu,Artis mana tau tentang penderitaan rakyat yg mereka tau hanya DUIT,2 bulan yang lalu,0,artis mana tau penderitaan rakyat yg tau duit
@suciindah8296,"Artis ya artis, pejabat ya pejabat. Semua ada profesinya masing"". Lhah kenapa skrng kok bnyk dr kalangan artis"" Contoh tuh DHANI, MULAN Pasutri lagi...tiba"" jd Pejabat ... ??? Mmg ngk ada manusia"" lain yg lebih pantas untuk dijadikan pejabat pemimpin rakyat ??? Lama"" ENEG ngliat para pejabat indonesia.",2 bulan yang lalu,0,artis artis pejabat pejabat semua profesinya masing lhah skrng kok bnyk dr kalangan artis contoh tuh dhani mulan pasutri lagitiba jd pejabat mmg ngk manusia yg lebih pantas dijadikan pejabat pemimpin rakyat lama eneg ngliat pejabat indonesia
@jefrisastromihardjo1894,Padahal mereka dr org susah,2 bulan yang lalu,0,padahal dr org susah
@ranzlevi1481,Siapa yang pilih mereka naik?,2 bulan yang lalu,0,siapa pilih naik
@AmdanYahya-c1q,😢,2 bulan yang lalu,0,
@onepack1918,"ngk liat, yg joget siapa saja dan yg kasih 50 jt itu siapa?",2 bulan yang lalu,0,ngk liat yg joget siapa yg kasih jt siapa
@asy6394,​ @onepack1918 lu kemarin nyoblos caleg dpt duit amplopan brp rupiah?,2 bulan yang lalu,0,onepacklu kemarin nyoblos caleg dpt duit amplopan brp rupiah
@onepack1918,"​​ @asy6394 
hehe... sorry bro. sy sih ngk nyoblos, milih mereka sama saja menghina kecerdasan dan harga diri saya😊",2 bulan yang lalu (diedit),0,asy hehe sorry bro sy sih ngk nyoblos milih sama menghina kecerdasan harga diri
@aripratono5065,"lah itu di depan presiden dan wakil presiden dan jajaran pemerintahan loh, jd apa artinya ya memang semua mereka meremehkan rakyat yang terus tertekan pajak dll",2 bulan yang lalu,0,lah depan presiden wakil presiden jajaran pemerintahan loh jd apa artinya memang semua meremehkan rakyat terus tertekan pajak
@MultiDivebomber,Milih presidennya aja karena joget gemoy,2 bulan yang lalu,0,milih presidennya aja joget gemoy
@BaliSangsit,"..ini belum...pemerintah lambat tanggap akan  kekecewaan rakyat.n......dak tau apa terjadi nanti..semua ini ulah siapa.....ia ulah..kebijakan yg memberatkan rakyat
..",2 bulan yang lalu,0,belumpemerintah lambat tanggap kekecewaan rakyatndak tau apa terjadi nantisemua ulah siapaia ulahkebijakan yg memberatkan rakyat
@agusariyanto161,Gak usah nyoblos DPR dan presiden  th 29,2 bulan yang lalu,0,gak usah nyoblos dpr presiden th
@Kevin-ky8fn,Ya harapan mereka pilih orang kaya agar gak korupsi eh ternyata😅,2 bulan yang lalu,0,harapan pilih orang kaya gak korupsi eh ternyata
@infozamantv8191,PEKERJAAN DITANGAN BUKAN AHLINYA TUNGGULAH KEHANCURAN NYA DN TERBUKTI...TIDAK BISAKERJA kCUMA MENGHARAP DUIT..,2 bulan yang lalu (diedit),0,pekerjaan ditangan bukan ahlinya tunggulah kehancuran nya dn terbuktitidak bisakerja kcuma mengharap duit
@guide-ww7nr,Seprti zelenksy,2 bulan yang lalu,0,seprti zelenksy
@SmgSmg-z4b2s,"​ @aripratono5065 dan prisidenmu ikut goyang goyang badan, hadeh... Macam apa presidenmu itu kawan..",2 bulan yang lalu,0,aripratonodan prisidenmu ikut goyang goyang badan hadeh macam apa presidenmu kawan
@goodfishchannel1026,"benar, penderitaan dan susah rakyat di anggap lawakan oleh mereka, apalagi selebgram tujuan cm jalan2 keluar negeri.",2 bulan yang lalu,0,benar penderitaan susah rakyat anggap lawakan selebgram tujuan cm jalan keluar negeri
@ramosvorosilovpurba4706,Sadarlah rakyat dalam memilih.. Terima duitnya jgn di coblos,2 bulan yang lalu,0,sadarlah rakyat memilih terima duitnya jgn coblos
@OgieNugraha,Kerja nya cuma konkow konkow doang,2 bulan yang lalu,0,kerja nya cuma konkow konkow doang
@fadhliilyas4865,"Untung saya GK pernah ikut pemilu,pilkada,pilkades,dan pil RT RW",2 bulan yang lalu,0,untung gk pernah ikut pemilupilkadapilkadesdan pil rt rw
@Pawang_ODGJ,"Gak guna lu bilang '"" pilih siapa kemarin"" itu gak akan ngerubah keadaan ...",2 bulan yang lalu,0,gak lu bilang pilih siapa kemarin gak ngerubah keadaan
@Benshafran,PARTAINYA.  PAN.  SPESIALIS ARTIS. WAKIL RAKYAT,2 bulan yang lalu,0,partainya pan spesialis artis wakil rakyat
@gajahmada489,"​​Dukung Prabowo-Gibran memerintah tanpa DPR sampai 2029.
Copot Kapolda DKI jika tidak BUBARKAN KEPOLISIAN sama spt DPR ..
Setelah 2029 semua anggota DPR adalah orang baru.",2 bulan yang lalu,0,dukung prabowogibran memerintah dpr copot kapolda dki bubarkan kepolisian sama spt dpr semua anggota dpr orang baru
@GoNo-p7z,...yaa ...!!!./?,2 bulan yang lalu,0,yaa
@OpikTaufikR,"Si kuya dan si bakekok, pelawak garing yang so asik",2 bulan yang lalu,0,si kuya si bakekok pelawak garing so asik
@guweg3665,Untung kaga milih mereka,2 bulan yang lalu,0,untung kaga milih
@zuliarahmawati1666,"Presidennya juga dikit"" Joget gemoy 😂😂",2 bulan yang lalu,0,presidennya dikit joget gemoy
@GoNo-p7z,...sama aku kg GK nyoblos ..yang di pst..,2 bulan yang lalu,0,sama aku kg gk nyoblos pst
@tokosendal5432,"Hanya buang buang waktu tenaga kalau demo segelintir begini,gk bakalan digubris sama pejabat,kalau mau digubris harus bekorban nyawa dan kompak seluruh indonesia seperti 98,kalau segelintir DPR dan pajabat exsekutif ketawa aja lihat rakyat segelintir demo,dengan kata """"BIARIN AJA KITA JANGAN KELUAR DULU NANTI KALAU SUDAH REDA KITA KELUAR LAGI""""",2 bulan yang lalu,0,buang buang waktu tenaga kalau demo segelintir beginigk bakalan digubris sama pejabatkalau mau digubris bekorban nyawa kompak seluruh indonesia kalau segelintir dpr pajabat exsekutif ketawa aja lihat rakyat segelintir demodengan kata biarin aja jangan keluar dulu kalau reda keluar
@hasansugibit182,Zelinski jilid 2 😂😂,2 bulan yang lalu,0,zelinski jilid
@JuhardinAriasasagama,"Bukan hanya DPR, presiden jg memiliki blunder.  Menaikan gaji pejabat d saat perekonomian belum stabil. D saat rakyat sedang susah dpt kerja, d saat rakyat d cekik dgn pajak yg tinggi.",2 bulan yang lalu,0,bukan dpr presiden jg memiliki blunder menaikan gaji pejabat d perekonomian stabil d rakyat sedang susah dpt kerja d rakyat d cekik dgn pajak yg tinggi
@endangsumarna5406,"Makanya saya tak pernah nyoblos calon dari kalangan artis, itulah akibatnya",2 bulan yang lalu,0,makanya tak pernah nyoblos calon kalangan artis akibatnya
@F7d-t2d,KPU GK bisa dprcaya entah suara dia benar dpilih rakyat atau hasil dr suap,2 bulan yang lalu,0,kpu gk dprcaya entah suara benar dpilih rakyat hasil dr suap
@arrmoha1644,"Joget joget ,,  trus ROYALTI   lagi .. anggota dewan dari artis ternyata HAMA",2 bulan yang lalu,0,joget joget trus royalti anggota dewan artis ternyata hama
@Kofeelate,"Biarpaun bkn dari kalangan artis dan komedian DPR itu sama saja ,karna mereka mengemban tugas untuk partai bkn untuk rakyat.",2 bulan yang lalu,0,biarpaun bkn kalangan artis komedian dpr sama karna mengemban tugas partai bkn rakyat
